asset,publish_date,status,board,angle,title,description,destination_url
pin-01.png,2026-06-03,scheduled,Cozy Lighting Ideas,broad listicle,9 Cozy Lighting Ideas for Softer Evenings,"Discover nine cozy lighting ideas for creating a softer evening atmosphere at home, from warm bedside lamps to renter-friendly wall lighting. This post contains affiliate links.",https://softmoonstudio.com/posts/9-cozy-lighting-ideas-that-make-your-home-feel-softer-at-night/?utm_source=pinterest&utm_medium=organic&utm_campaign=cozy_lighting_ideas&utm_content=pin_01
pin-02.png,2026-06-07,scheduled,Cozy Lighting Ideas,problem led,Skip the Overhead Light: 9 Softer Lighting Ideas,"Harsh overhead lighting can make a room feel flat at night. Explore nine warmer lighting ideas for bedrooms, reading corners and quiet evenings. This post contains affiliate links.",https://softmoonstudio.com/posts/9-cozy-lighting-ideas-that-make-your-home-feel-softer-at-night/?utm_source=pinterest&utm_medium=organic&utm_campaign=cozy_lighting_ideas&utm_content=pin_02
pin-03.png,2026-06-10,scheduled,Cozy Lighting Ideas,bedroom,Cozy Bedroom Lighting Ideas for Softer Evenings,"Make your bedroom feel warmer at night with gentle layered lighting, bedside lamps and soft decorative details. This post contains affiliate links.",https://softmoonstudio.com/posts/9-cozy-lighting-ideas-that-make-your-home-feel-softer-at-night/?utm_source=pinterest&utm_medium=organic&utm_campaign=cozy_lighting_ideas&utm_content=pin_03
pin-04.png,2026-06-14,scheduled,Cozy Lighting Ideas,renters,Cozy Lighting Ideas for Renters,"Create a softer home atmosphere without rewiring your room. These cozy lighting ideas include renter-friendly and rechargeable options. This post contains affiliate links.",https://softmoonstudio.com/posts/9-cozy-lighting-ideas-that-make-your-home-feel-softer-at-night/?utm_source=pinterest&utm_medium=organic&utm_campaign=cozy_lighting_ideas&utm_content=pin_04
pin-05.png,2026-06-17,scheduled,Cozy Lighting Ideas,evening rituals,Small Lights for Softer Evenings,"A calmer evening atmosphere can begin with small pools of warm light. Explore nine cozy ideas for shelves, bedside tables and slow routines. This post contains affiliate links.",https://softmoonstudio.com/posts/9-cozy-lighting-ideas-that-make-your-home-feel-softer-at-night/?utm_source=pinterest&utm_medium=organic&utm_campaign=cozy_lighting_ideas&utm_content=pin_05
pin-06.png,2026-06-21,scheduled,Calm Home Aesthetic,broad listicle,9 Warm Lighting Ideas for a Cozy Home,"From reading-corner floor lamps to paper lantern shades, these warm lighting ideas can help your home feel softer at night. This post contains affiliate links.",https://softmoonstudio.com/posts/9-cozy-lighting-ideas-that-make-your-home-feel-softer-at-night/?utm_source=pinterest&utm_medium=organic&utm_campaign=cozy_lighting_ideas&utm_content=pin_06
pin-07.png,2026-06-24,scheduled,Cozy Lighting Ideas,small spaces,Cozy Lighting Ideas for Small Spaces,"Add warmth without adding clutter. Explore compact, cordless and wall-mounted lighting ideas for softer evenings in a small home. This post contains affiliate links.",https://softmoonstudio.com/posts/9-cozy-lighting-ideas-that-make-your-home-feel-softer-at-night/?utm_source=pinterest&utm_medium=organic&utm_campaign=cozy_lighting_ideas&utm_content=pin_07
pin-08.png,2026-06-28,scheduled,Cozy Lighting Ideas,tutorial,How to Layer Warm Light at Night,"Learn how small pools of light at different heights can make an ordinary room feel warmer and more intentional in the evening. This post contains affiliate links.",https://softmoonstudio.com/posts/9-cozy-lighting-ideas-that-make-your-home-feel-softer-at-night/?utm_source=pinterest&utm_medium=organic&utm_campaign=cozy_lighting_ideas&utm_content=pin_08
pin-09.png,2026-07-01,scheduled,Calm Home Aesthetic,bedside,Soft Lighting Ideas for a Cozy Bedside Table,"Create a softer bedside corner with warm lamps, renter-friendly wall lighting and simple decorative layers. This post contains affiliate links.",https://softmoonstudio.com/posts/9-cozy-lighting-ideas-that-make-your-home-feel-softer-at-night/?utm_source=pinterest&utm_medium=organic&utm_campaign=cozy_lighting_ideas&utm_content=pin_09
pin-10.png,2026-07-05,scheduled,Cozy Lighting Ideas,reading corner,Create a Softer Reading Corner with Warm Light,"Turn a quiet chair or sofa corner into a gentler evening space with warm, layered lighting ideas. This post contains affiliate links.",https://softmoonstudio.com/posts/9-cozy-lighting-ideas-that-make-your-home-feel-softer-at-night/?utm_source=pinterest&utm_medium=organic&utm_campaign=cozy_lighting_ideas&utm_content=pin_10
pin-11.png,2026-07-08,reserve,Cozy Lighting Ideas,problem led,Does Your Home Feel Harsh After Dark?,"If your home still feels too bright at night, begin with one softer corner. Explore nine simple cozy lighting ideas. This post contains affiliate links.",https://softmoonstudio.com/posts/9-cozy-lighting-ideas-that-make-your-home-feel-softer-at-night/?utm_source=pinterest&utm_medium=organic&utm_campaign=cozy_lighting_ideas&utm_content=pin_11
pin-12.png,2026-07-12,reserve,Calm Home Aesthetic,evening rituals,9 Gentle Ways to Light Your Evenings,"Explore cozy lighting inspiration for shelves, bedrooms and reading corners to create a warmer evening atmosphere. This post contains affiliate links.",https://softmoonstudio.com/posts/9-cozy-lighting-ideas-that-make-your-home-feel-softer-at-night/?utm_source=pinterest&utm_medium=organic&utm_campaign=cozy_lighting_ideas&utm_content=pin_12
